[2016-07-01 19:36:57] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:36:57] error.ERROR: [42:SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_social.user_consumer' doesn't exist (SQL: select `consumer_user_id`, `money` from `user_consumer` where `user_id` = 6 and `status` = 1 order by `money` desc limit 10)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:36:57] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:36:57] error.ERROR: [42:SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_social.user_consumer' doesn't exist (SQL: select `consumer_user_id`, `money` from `user_consumer` where `user_id` = 6 and `status` = 1 order by `money` desc limit 10)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:36:57] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:38:20] error.ERROR: [42:SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_social.user_consumer' doesn't exist (SQL: select `consumer_user_id`, `money` from `user_consumer` where `user_id` = 6 and `status` = 1 order by `money` desc limit 10)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:38:20] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:38:20] error.ERROR: [42:SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_social.user_consumer' doesn't exist (SQL: select `consumer_user_id`, `money` from `user_consumer` where `user_id` = 6 and `status` = 1 order by `money` desc limit 10)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:38:20] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:38:21] error.ERROR: [42:SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_social.user_consumer' doesn't exist (SQL: select `consumer_user_id`, `money` from `user_consumer` where `user_id` = 6 and `status` = 1 order by `money` desc limit 10)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:38:21] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:38:21] error.ERROR: [42:SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_social.user_consumer' doesn't exist (SQL: select `consumer_user_id`, `money` from `user_consumer` where `user_id` = 6 and `status` = 1 order by `money` desc limit 10)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:38:22] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:39:14] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:39:24] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:40:59] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:41:05] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:41:09] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:41:12] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
